IP地址,数据中心,地区,城市,网络延迟
104.18.226.80,HKG,亚太地区,香港,58 ms
104.18.189.186,HKG,亚太地区,香港,58 ms
104.16.3.95,HKG,亚太地区,香港,58 ms
104.25.241.66,HKG,亚太地区,香港,58 ms
104.17.206.69,HKG,亚太地区,香港,59 ms
104.19.219.62,HKG,亚太地区,香港,59 ms
104.25.254.217,HKG,亚太地区,香港,59 ms
104.18.231.59,HKG,亚太地区,香港,60 ms
104.19.220.90,HKG,亚太地区,香港,60 ms
104.18.229.227,HKG,亚太地区,香港,60 ms
104.19.209.12,HKG,亚太地区,香港,60 ms
104.18.174.145,HKG,亚太地区,香港,60 ms
104.17.199.201,HKG,亚太地区,香港,60 ms
172.64.153.135,HKG,亚太地区,香港,60 ms
104.17.134.56,HKG,亚太地区,香港,60 ms
104.18.175.67,HKG,亚太地区,香港,60 ms
104.18.188.207,HKG,亚太地区,香港,60 ms
104.25.249.73,HKG,亚太地区,香港,60 ms
104.18.165.254,HKG,亚太地区,香港,60 ms
104.25.243.18,HKG,亚太地区,香港,60 ms
104.25.242.243,HKG,亚太地区,香港,60 ms
104.17.192.109,HKG,亚太地区,香港,60 ms
104.18.181.40,HKG,亚太地区,香港,61 ms
104.18.179.145,HKG,亚太地区,香港,61 ms
104.17.205.171,HKG,亚太地区,香港,61 ms
104.18.235.147,HKG,亚太地区,香港,61 ms
104.18.236.74,HKG,亚太地区,香港,61 ms
104.25.252.229,HKG,亚太地区,香港,61 ms
104.19.217.255,HKG,亚太地区,香港,61 ms
104.18.225.100,HKG,亚太地区,香港,62 ms
104.19.211.1,HKG,亚太地区,香港,62 ms
104.18.164.199,HKG,亚太地区,香港,62 ms
104.18.173.254,HKG,亚太地区,香港,62 ms
104.18.168.188,HKG,亚太地区,香港,62 ms
104.19.221.171,HKG,亚太地区,香港,62 ms
104.18.169.21,HKG,亚太地区,香港,63 ms
104.18.183.244,HKG,亚太地区,香港,63 ms
104.18.190.98,HKG,亚太地区,香港,63 ms
104.25.244.11,HKG,亚太地区,香港,64 ms
104.19.213.221,HKG,亚太地区,香港,64 ms
104.17.132.220,HKG,亚太地区,香港,64 ms
104.18.74.83,HKG,亚太地区,香港,65 ms
104.18.144.180,HKG,亚太地区,香港,66 ms
104.17.196.185,HKG,亚太地区,香港,66 ms
104.18.162.186,HKG,亚太地区,香港,67 ms
104.18.234.164,HKG,亚太地区,香港,67 ms
104.18.161.101,HKG,亚太地区,香港,67 ms
104.18.157.94,HKG,亚太地区,香港,76 ms
104.19.223.232,HKG,亚太地区,香港,78 ms
104.17.49.190,HKG,亚太地区,香港,90 ms
104.19.35.55,HKG,亚太地区,香港,92 ms
104.19.34.155,HKG,亚太地区,香港,93 ms
104.19.41.220,HKG,亚太地区,香港,94 ms
104.19.59.162,HKG,亚太地区,香港,95 ms
104.19.40.204,HKG,亚太地区,香港,96 ms
104.19.37.146,HKG,亚太地区,香港,96 ms
104.19.61.219,HKG,亚太地区,香港,96 ms
104.19.36.74,HKG,亚太地区,香港,96 ms
104.19.38.98,HKG,亚太地区,香港,96 ms
104.19.56.214,HKG,亚太地区,香港,97 ms
104.19.39.8,HKG,亚太地区,香港,98 ms
104.19.52.154,HKG,亚太地区,香港,99 ms
104.19.58.86,HKG,亚太地区,香港,99 ms
104.19.33.179,HKG,亚太地区,香港,101 ms
104.19.51.7,HKG,亚太地区,香港,101 ms
104.16.204.181,HKG,亚太地区,香港,102 ms
104.17.189.13,HKG,亚太地区,香港,102 ms
104.17.213.166,HKG,亚太地区,香港,102 ms
104.19.45.156,HKG,亚太地区,香港,102 ms
104.16.247.20,HKG,亚太地区,香港,102 ms
104.19.43.110,HKG,亚太地区,香港,102 ms
104.18.90.190,HKG,亚太地区,香港,102 ms
104.17.60.32,HKG,亚太地区,香港,102 ms
104.19.55.184,HKG,亚太地区,香港,103 ms
104.17.178.186,HKG,亚太地区,香港,103 ms
104.17.166.19,HKG,亚太地区,香港,103 ms
104.17.121.33,HKG,亚太地区,香港,103 ms
104.16.198.164,HKG,亚太地区,香港,103 ms
104.17.16.173,HKG,亚太地区,香港,103 ms
104.17.29.254,HKG,亚太地区,香港,103 ms
104.17.98.249,HKG,亚太地区,香港,103 ms
104.18.86.52,HKG,亚太地区,香港,104 ms
104.16.192.44,HKG,亚太地区,香港,104 ms
104.18.87.230,HKG,亚太地区,香港,104 ms
104.16.246.121,HKG,亚太地区,香港,104 ms
104.17.187.68,HKG,亚太地区,香港,104 ms
104.16.254.5,HKG,亚太地区,香港,104 ms
104.16.144.20,HKG,亚太地区,香港,104 ms
104.17.223.114,HKG,亚太地区,香港,104 ms
104.17.209.226,HKG,亚太地区,香港,104 ms
104.17.210.66,HKG,亚太地区,香港,104 ms
104.17.212.235,HKG,亚太地区,香港,104 ms
104.16.199.29,HKG,亚太地区,香港,104 ms
104.16.248.216,HKG,亚太地区,香港,105 ms
104.18.88.183,HKG,亚太地区,香港,105 ms
104.17.219.127,HKG,亚太地区,香港,105 ms
104.17.175.14,HKG,亚太地区,香港,105 ms
104.17.109.223,HKG,亚太地区,香港,105 ms
104.17.100.222,HKG,亚太地区,香港,105 ms
104.17.101.144,HKG,亚太地区,香港,105 ms
104.17.102.65,HKG,亚太地区,香港,105 ms
104.17.99.193,HKG,亚太地区,香港,105 ms
104.16.201.128,HKG,亚太地区,香港,105 ms
104.19.146.151,HKG,亚太地区,香港,105 ms
104.17.62.97,HKG,亚太地区,香港,105 ms
104.17.159.189,HKG,亚太地区,香港,105 ms
104.17.158.149,HKG,亚太地区,香港,105 ms
104.17.179.248,HKG,亚太地区,香港,105 ms
104.17.191.145,HKG,亚太地区,香港,105 ms
104.16.145.211,HKG,亚太地区,香港,105 ms
104.17.108.234,HKG,亚太地区,香港,105 ms
172.64.154.157,HKG,亚太地区,香港,105 ms
104.17.155.146,HKG,亚太地区,香港,105 ms
104.16.251.35,HKG,亚太地区,香港,105 ms
104.17.112.184,HKG,亚太地区,香港,105 ms
104.17.171.180,HKG,亚太地区,香港,105 ms
104.17.167.196,HKG,亚太地区,香港,105 ms
104.17.123.238,HKG,亚太地区,香港,105 ms
104.17.56.2,HKG,亚太地区,香港,105 ms
104.18.81.245,HKG,亚太地区,香港,105 ms
104.17.105.136,HKG,亚太地区,香港,105 ms
104.17.52.148,HKG,亚太地区,香港,105 ms
104.17.53.2,HKG,亚太地区,香港,105 ms
104.19.151.38,HKG,亚太地区,香港,105 ms
104.17.104.254,HKG,亚太地区,香港,106 ms
104.17.124.165,HKG,亚太地区,香港,106 ms
104.16.241.220,HKG,亚太地区,香港,106 ms
104.19.156.109,HKG,亚太地区,香港,106 ms
104.17.182.101,HKG,亚太地区,香港,106 ms
104.17.161.149,HKG,亚太地区,香港,106 ms
104.17.222.233,HKG,亚太地区,香港,106 ms
104.16.250.226,HKG,亚太地区,香港,106 ms
104.17.186.91,HKG,亚太地区,香港,106 ms
104.17.22.26,HKG,亚太地区,香港,106 ms
104.17.144.150,HKG,亚太地区,香港,106 ms
104.16.244.65,HKG,亚太地区,香港,106 ms
104.17.119.141,HKG,亚太地区,香港,106 ms
104.17.145.215,HKG,亚太地区,香港,106 ms
104.17.96.75,HKG,亚太地区,香港,106 ms
104.17.17.122,HKG,亚太地区,香港,107 ms
104.17.21.124,HKG,亚太地区,香港,107 ms
104.19.149.165,HKG,亚太地区,香港,107 ms
104.17.174.32,HKG,亚太地区,香港,107 ms
104.19.49.215,HKG,亚太地区,香港,107 ms
104.17.211.39,HKG,亚太地区,香港,107 ms
104.19.145.188,HKG,亚太地区,香港,107 ms
104.17.151.26,HKG,亚太地区,香港,107 ms
104.17.153.94,HKG,亚太地区,香港,107 ms
104.17.181.183,HKG,亚太地区,香港,107 ms
104.16.243.143,HKG,亚太地区,香港,107 ms
104.17.163.6,HKG,亚太地区,香港,107 ms
104.17.111.119,HKG,亚太地区,香港,107 ms
104.16.156.118,HKG,亚太地区,香港,107 ms
104.17.26.220,HKG,亚太地区,香港,107 ms
104.18.83.147,HKG,亚太地区,香港,107 ms
104.18.82.248,HKG,亚太地区,香港,107 ms
104.17.118.122,HKG,亚太地区,香港,107 ms
104.19.48.255,HKG,亚太地区,香港,107 ms
104.17.57.208,HKG,亚太地区,香港,107 ms
104.17.172.3,HKG,亚太地区,香港,107 ms
104.17.173.2,HKG,亚太地区,香港,107 ms
104.17.114.109,HKG,亚太地区,香港,107 ms
104.17.50.104,HKG,亚太地区,香港,107 ms
104.17.55.205,HKG,亚太地区,香港,107 ms
104.17.125.162,HKG,亚太地区,香港,107 ms
104.19.153.163,HKG,亚太地区,香港,107 ms
104.17.152.253,HKG,亚太地区,香港,107 ms
104.17.184.16,HKG,亚太地区,香港,107 ms
104.17.214.122,HKG,亚太地区,香港,107 ms
104.17.103.204,HKG,亚太地区,香港,108 ms
104.17.156.135,HKG,亚太地区,香港,108 ms
104.18.92.109,HKG,亚太地区,香港,108 ms
104.17.146.166,HKG,亚太地区,香港,108 ms
104.17.220.245,HKG,亚太地区,香港,108 ms
104.16.149.224,HKG,亚太地区,香港,108 ms
104.16.151.230,HKG,亚太地区,香港,108 ms
104.16.207.135,HKG,亚太地区,香港,108 ms
104.18.93.4,HKG,亚太地区,香港,108 ms
104.17.168.83,HKG,亚太地区,香港,108 ms
104.17.169.187,HKG,亚太地区,香港,108 ms
104.17.165.85,HKG,亚太地区,香港,108 ms
104.17.208.84,HKG,亚太地区,香港,108 ms
104.16.147.49,HKG,亚太地区,香港,108 ms
104.16.148.70,HKG,亚太地区,香港,108 ms
104.19.147.53,HKG,亚太地区,香港,108 ms
104.17.190.109,HKG,亚太地区,香港,108 ms
104.19.157.189,HKG,亚太地区,香港,108 ms
104.17.61.61,HKG,亚太地区,香港,108 ms
104.17.51.226,HKG,亚太地区,香港,108 ms
104.18.85.43,HKG,亚太地区,香港,108 ms
104.18.80.19,HKG,亚太地区,香港,108 ms
104.17.164.2,HKG,亚太地区,香港,108 ms
104.17.113.92,HKG,亚太地区,香港,108 ms
104.16.146.173,HKG,亚太地区,香港,108 ms
104.17.116.114,HKG,亚太地区,香港,108 ms
104.17.180.200,HKG,亚太地区,香港,108 ms
104.17.162.205,HKG,亚太地区,香港,108 ms
104.17.218.132,HKG,亚太地区,香港,109 ms
104.17.217.174,HKG,亚太地区,香港,109 ms
104.17.126.169,HKG,亚太地区,香港,109 ms
104.17.160.8,HKG,亚太地区,香港,109 ms
104.17.157.25,HKG,亚太地区,香港,109 ms
104.17.147.52,HKG,亚太地区,香港,109 ms
104.17.216.104,HKG,亚太地区,香港,109 ms
104.17.30.200,HKG,亚太地区,香港,109 ms
104.17.150.51,HKG,亚太地区,香港,109 ms
104.17.120.99,HKG,亚太地区,香港,109 ms
104.16.240.23,HKG,亚太地区,香港,109 ms
104.17.107.237,HKG,亚太地区,香港,109 ms
104.16.194.104,HKG,亚太地区,香港,109 ms
104.17.20.30,HKG,亚太地区,香港,109 ms
104.16.159.44,HKG,亚太地区,香港,109 ms
104.17.177.142,HKG,亚太地区,香港,109 ms
104.17.27.98,HKG,亚太地区,香港,109 ms
104.17.63.177,HKG,亚太地区,香港,109 ms
104.16.253.123,HKG,亚太地区,香港,109 ms
104.19.47.2,HKG,亚太地区,香港,109 ms
104.17.23.188,HKG,亚太地区,香港,109 ms
104.17.115.232,HKG,亚太地区,香港,109 ms
104.16.197.176,HKG,亚太地区,香港,109 ms
104.18.91.5,HKG,亚太地区,香港,109 ms
104.19.150.104,HKG,亚太地区,香港,110 ms
104.16.157.233,HKG,亚太地区,香港,110 ms
104.17.117.73,HKG,亚太地区,香港,110 ms
104.16.205.157,HKG,亚太地区,香港,110 ms
104.18.94.246,HKG,亚太地区,香港,110 ms
104.17.59.112,HKG,亚太地区,香港,110 ms
104.17.18.111,HKG,亚太地区,香港,110 ms
104.16.153.118,HKG,亚太地区,香港,110 ms
104.16.155.197,HKG,亚太地区,香港,110 ms
104.16.152.166,HKG,亚太地区,香港,110 ms
104.16.150.232,HKG,亚太地区,香港,110 ms
104.17.154.75,HKG,亚太地区,香港,110 ms
104.17.215.98,HKG,亚太地区,香港,111 ms
104.17.31.65,HKG,亚太地区,香港,111 ms
104.17.110.55,HKG,亚太地区,香港,111 ms
104.16.245.47,HKG,亚太地区,香港,111 ms
104.16.255.176,HKG,亚太地区,香港,111 ms
104.17.28.32,HKG,亚太地区,香港,112 ms
104.17.58.115,HKG,亚太地区,香港,112 ms
104.17.97.228,HKG,亚太地区,香港,113 ms
104.16.196.205,HKG,亚太地区,香港,113 ms
104.19.144.23,HKG,亚太地区,香港,113 ms
104.17.48.231,HKG,亚太地区,香港,113 ms
104.17.188.237,HKG,亚太地区,香港,116 ms
104.16.195.2,HKG,亚太地区,香港,116 ms
104.17.149.37,HKG,亚太地区,香港,116 ms
104.16.193.119,HKG,亚太地区,香港,123 ms
172.64.53.15,LAX,北美洲,洛杉矶,149 ms
172.64.42.45,LAX,北美洲,洛杉矶,152 ms
104.16.84.196,SJC,北美洲,圣何塞,152 ms
104.16.120.48,LAX,北美洲,洛杉矶,152 ms
141.193.213.165,LAX,北美洲,洛杉矶,153 ms
172.64.110.107,LAX,北美洲,洛杉矶,154 ms
104.16.113.137,LAX,北美洲,洛杉矶,154 ms
172.67.117.68,LAX,北美洲,洛杉矶,155 ms
172.64.84.131,LAX,北美洲,洛杉矶,155 ms
104.16.228.55,SJC,北美洲,圣何塞,155 ms
172.67.119.0,LAX,北美洲,洛杉矶,155 ms
172.64.87.168,LAX,北美洲,洛杉矶,156 ms
172.64.111.167,LAX,北美洲,洛杉矶,156 ms
162.159.22.121,LAX,北美洲,洛杉矶,156 ms
45.131.209.196,LAX,北美洲,洛杉矶,156 ms
162.159.128.77,HKG,亚太地区,香港,156 ms
172.67.220.207,LAX,北美洲,洛杉矶,156 ms
104.23.133.224,LAX,北美洲,洛杉矶,156 ms
156.238.18.102,LAX,北美洲,洛杉矶,156 ms
194.53.53.66,SJC,北美洲,圣何塞,157 ms
172.67.19.109,LAX,北美洲,洛杉矶,157 ms
104.27.59.131,LAX,北美洲,洛杉矶,157 ms
162.159.36.155,LAX,北美洲,洛杉矶,157 ms
89.116.161.214,LAX,北美洲,洛杉矶,157 ms
172.67.32.199,LAX,北美洲,洛杉矶,157 ms
159.112.235.142,LAX,北美洲,洛杉矶,157 ms
188.164.159.97,LAX,北美洲,洛杉矶,157 ms
5.226.179.255,LAX,北美洲,洛杉矶,157 ms
104.21.113.204,LAX,北美洲,洛杉矶,157 ms
14.102.228.103,LAX,北美洲,洛杉矶,158 ms
141.101.122.183,LAX,北美洲,洛杉矶,158 ms
154.85.99.107,LAX,北美洲,洛杉矶,158 ms
162.159.194.212,LAX,北美洲,洛杉矶,158 ms
77.232.140.157,LAX,北美洲,洛杉矶,158 ms
104.18.37.165,SJC,北美洲,圣何塞,158 ms
172.67.97.119,LAX,北美洲,洛杉矶,158 ms
104.36.195.180,LAX,北美洲,洛杉矶,158 ms
77.74.228.15,LAX,北美洲,洛杉矶,158 ms
77.37.33.15,LAX,北美洲,洛杉矶,158 ms
162.159.250.109,LAX,北美洲,洛杉矶,158 ms
104.16.126.177,LAX,北美洲,洛杉矶,158 ms
104.23.134.242,LAX,北美洲,洛杉矶,158 ms
172.65.196.58,LAX,北美洲,洛杉矶,158 ms
104.18.21.68,HKG,亚太地区,香港,159 ms
198.41.207.81,LAX,北美洲,洛杉矶,159 ms
172.64.103.18,LAX,北美洲,洛杉矶,159 ms
162.159.3.140,LAX,北美洲,洛杉矶,159 ms
162.159.40.204,LAX,北美洲,洛杉矶,159 ms
104.16.189.6,SJC,北美洲,圣何塞,159 ms
172.67.91.110,LAX,北美洲,洛杉矶,159 ms
104.18.10.13,SJC,北美洲,圣何塞,159 ms
108.165.216.4,LAX,北美洲,洛杉矶,159 ms
172.64.90.252,LAX,北美洲,洛杉矶,159 ms
192.133.11.214,LAX,北美洲,洛杉矶,159 ms
162.159.1.14,LAX,北美洲,洛杉矶,159 ms
198.41.222.235,LAX,北美洲,洛杉矶,160 ms
172.67.59.125,LAX,北美洲,洛杉矶,160 ms
172.64.89.231,LAX,北美洲,洛杉矶,160 ms
104.18.47.218,SJC,北美洲,圣何塞,160 ms
172.67.181.35,LAX,北美洲,洛杉矶,160 ms
172.66.45.247,LAX,北美洲,洛杉矶,160 ms
172.67.126.148,LAX,北美洲,洛杉矶,160 ms
92.53.191.226,LAX,北美洲,洛杉矶,160 ms
172.67.123.38,LAX,北美洲,洛杉矶,160 ms
172.64.135.10,LAX,北美洲,洛杉矶,160 ms
104.16.114.114,LAX,北美洲,洛杉矶,160 ms
45.135.235.254,LAX,北美洲,洛杉矶,160 ms
104.18.36.3,LAX,北美洲,洛杉矶,160 ms
172.64.129.203,LAX,北美洲,洛杉矶,160 ms
45.85.118.227,LAX,北美洲,洛杉矶,160 ms
45.159.217.176,LAX,北美洲,洛杉矶,160 ms
104.18.6.252,SJC,北美洲,圣何塞,160 ms
172.64.68.101,LAX,北美洲,洛杉矶,160 ms
172.64.230.78,LAX,北美洲,洛杉矶,160 ms
104.17.137.44,HKG,亚太地区,香港,160 ms
172.64.168.136,LAX,北美洲,洛杉矶,160 ms
141.11.202.96,LAX,北美洲,洛杉矶,160 ms
104.17.24.11,SJC,北美洲,圣何塞,160 ms
104.16.94.183,SJC,北美洲,圣何塞,160 ms
198.41.220.127,LAX,北美洲,洛杉矶,161 ms
104.18.40.222,SJC,北美洲,圣何塞,161 ms
172.67.84.240,LAX,北美洲,洛杉矶,161 ms
104.16.127.168,LAX,北美洲,洛杉矶,161 ms
104.16.117.49,LAX,北美洲,洛杉矶,161 ms
198.41.202.222,LAX,北美洲,洛杉矶,161 ms
104.20.96.219,LAX,北美洲,洛杉矶,161 ms
89.116.180.54,LAX,北美洲,洛杉矶,161 ms
108.162.193.186,LAX,北美洲,洛杉矶,161 ms
172.67.51.24,LAX,北美洲,洛杉矶,161 ms
104.18.38.175,SJC,北美洲,圣何塞,161 ms
172.64.147.108,LAX,北美洲,洛杉矶,161 ms
104.16.122.199,LAX,北美洲,洛杉矶,161 ms
104.16.123.116,LAX,北美洲,洛杉矶,161 ms
193.9.49.32,LAX,北美洲,洛杉矶,161 ms
188.164.248.22,LAX,北美洲,洛杉矶,161 ms
172.64.198.59,LAX,北美洲,洛杉矶,161 ms
172.64.96.231,LAX,北美洲,洛杉矶,161 ms
216.205.52.129,LAX,北美洲,洛杉矶,161 ms
104.16.74.24,SJC,北美洲,圣何塞,161 ms
104.16.187.68,SJC,北美洲,圣何塞,161 ms
172.64.32.190,LAX,北美洲,洛杉矶,161 ms
172.67.58.31,LAX,北美洲,洛杉矶,161 ms
172.67.13.62,LAX,北美洲,洛杉矶,161 ms
185.170.166.153,LAX,北美洲,洛杉矶,161 ms
104.27.18.225,LAX,北美洲,洛杉矶,161 ms
172.67.113.147,LAX,北美洲,洛杉矶,162 ms
104.18.32.36,SJC,北美洲,圣何塞,162 ms
162.159.49.231,LAX,北美洲,洛杉矶,162 ms
185.38.135.197,SJC,北美洲,圣何塞,162 ms
172.64.137.39,LAX,北美洲,洛杉矶,162 ms
188.164.158.15,LAX,北美洲,洛杉矶,162 ms
92.53.190.125,LAX,北美洲,洛杉矶,162 ms
172.67.160.172,LAX,北美洲,洛杉矶,162 ms
172.67.12.240,LAX,北美洲,洛杉矶,162 ms
93.114.64.206,LAX,北美洲,洛杉矶,162 ms
198.41.201.91,LAX,北美洲,洛杉矶,162 ms
172.67.204.224,LAX,北美洲,洛杉矶,162 ms
162.159.33.136,LAX,北美洲,洛杉矶,162 ms
162.159.152.231,HKG,亚太地区,香港,162 ms
162.159.62.222,LAX,北美洲,洛杉矶,162 ms
104.18.7.17,SJC,北美洲,圣何塞,162 ms
188.42.89.100,LAX,北美洲,洛杉矶,162 ms
172.67.238.190,LAX,北美洲,洛杉矶,162 ms
154.194.12.221,LAX,北美洲,洛杉矶,162 ms
104.19.62.22,SJC,北美洲,圣何塞,162 ms
172.67.54.132,LAX,北美洲,洛杉矶,162 ms
185.59.218.5,LAX,北美洲,洛杉矶,162 ms
104.16.115.24,LAX,北美洲,洛杉矶,162 ms
92.60.74.133,LAX,北美洲,洛杉矶,162 ms
5.10.246.2,LAX,北美洲,洛杉矶,162 ms
170.114.45.59,LAX,北美洲,洛杉矶,162 ms
104.16.92.25,SJC,北美洲,圣何塞,162 ms
172.64.151.199,LAX,北美洲,洛杉矶,162 ms
172.67.120.35,LAX,北美洲,洛杉矶,163 ms
104.16.190.86,SJC,北美洲,圣何塞,163 ms
86.38.214.184,LAX,北美洲,洛杉矶,163 ms
104.16.121.235,LAX,北美洲,洛杉矶,163 ms
172.67.26.244,LAX,北美洲,洛杉矶,163 ms
172.67.47.17,LAX,北美洲,洛杉矶,163 ms
172.67.103.42,LAX,北美洲,洛杉矶,163 ms
172.67.44.13,LAX,北美洲,洛杉矶,163 ms
172.67.17.118,LAX,北美洲,洛杉矶,163 ms
162.120.94.74,LAX,北美洲,洛杉矶,163 ms
172.65.223.38,CDG,欧洲,巴黎,163 ms
198.41.196.222,LAX,北美洲,洛杉矶,163 ms
103.11.214.207,LAX,北美洲,洛杉矶,163 ms
162.159.14.118,LAX,北美洲,洛杉矶,163 ms
198.41.193.167,LAX,北美洲,洛杉矶,163 ms
172.67.184.230,LAX,北美洲,洛杉矶,163 ms
162.159.38.218,LAX,北美洲,洛杉矶,163 ms
185.148.106.61,LAX,北美洲,洛杉矶,163 ms
104.22.11.231,SJC,北美洲,圣何塞,163 ms
172.67.118.124,LAX,北美洲,洛杉矶,163 ms
198.41.223.184,LAX,北美洲,洛杉矶,163 ms
5.10.247.230,LAX,北美洲,洛杉矶,163 ms
94.242.229.147,LAX,北美洲,洛杉矶,163 ms
172.67.127.22,LAX,北美洲,洛杉矶,163 ms
172.64.229.77,LAX,北美洲,洛杉矶,163 ms
172.64.133.40,LAX,北美洲,洛杉矶,164 ms
104.18.14.214,SJC,北美洲,圣何塞,164 ms
172.65.201.237,LAX,北美洲,洛杉矶,164 ms
172.67.46.58,LAX,北美洲,洛杉矶,164 ms
172.67.100.220,LAX,北美洲,洛杉矶,164 ms
172.67.55.236,LAX,北美洲,洛杉矶,164 ms
198.41.215.91,LAX,北美洲,洛杉矶,164 ms
104.16.116.201,LAX,北美洲,洛杉矶,164 ms
172.64.204.202,LAX,北美洲,洛杉矶,164 ms
172.67.112.135,LAX,北美洲,洛杉矶,164 ms
188.114.98.36,LAX,北美洲,洛杉矶,164 ms
162.159.6.168,LAX,北美洲,洛杉矶,164 ms
172.64.234.96,LAX,北美洲,洛杉矶,164 ms
172.83.73.98,LAX,北美洲,洛杉矶,164 ms
172.64.38.123,LAX,北美洲,洛杉矶,164 ms
172.64.33.185,LAX,北美洲,洛杉矶,164 ms
198.41.221.78,LAX,北美洲,洛杉矶,164 ms
104.27.115.81,LAX,北美洲,洛杉矶,164 ms
172.67.240.64,LAX,北美洲,洛杉矶,164 ms
198.41.206.240,LAX,北美洲,洛杉矶,164 ms
104.24.11.9,LAX,北美洲,洛杉矶,164 ms
104.16.49.233,SJC,北美洲,圣何塞,164 ms
104.19.232.93,SJC,北美洲,圣何塞,164 ms
104.16.99.255,SJC,北美洲,圣何塞,164 ms
172.67.108.250,LAX,北美洲,洛杉矶,164 ms
172.67.106.179,LAX,北美洲,洛杉矶,164 ms
154.206.12.166,LAX,北美洲,洛杉矶,164 ms
45.159.219.198,LAX,北美洲,洛杉矶,164 ms
45.159.216.26,LAX,北美洲,洛杉矶,165 ms
172.67.104.90,LAX,北美洲,洛杉矶,165 ms
172.64.86.161,LAX,北美洲,洛杉矶,165 ms
172.64.85.109,LAX,北美洲,洛杉矶,165 ms
164.38.155.149,LAX,北美洲,洛杉矶,165 ms
45.8.211.221,LAX,北美洲,洛杉矶,165 ms
172.64.136.150,LAX,北美洲,洛杉矶,165 ms
104.22.8.184,SJC,北美洲,圣何塞,165 ms
172.67.157.95,LAX,北美洲,洛杉矶,165 ms
162.159.58.20,LAX,北美洲,洛杉矶,165 ms
108.162.195.54,LAX,北美洲,洛杉矶,165 ms
104.18.106.218,SJC,北美洲,圣何塞,165 ms
104.16.125.239,LAX,北美洲,洛杉矶,165 ms
172.67.16.58,LAX,北美洲,洛杉矶,165 ms
172.67.158.167,LAX,北美洲,洛杉矶,165 ms
162.159.44.29,LAX,北美洲,洛杉矶,165 ms
185.148.104.154,LAX,北美洲,洛杉矶,165 ms
172.67.33.70,LAX,北美洲,洛杉矶,165 ms
45.131.210.144,LAX,北美洲,洛杉矶,165 ms
159.246.55.8,LAX,北美洲,洛杉矶,165 ms
198.41.203.34,LAX,北美洲,洛杉矶,165 ms
172.64.93.67,LAX,北美洲,洛杉矶,165 ms
172.67.93.12,LAX,北美洲,洛杉矶,165 ms
45.131.208.109,LAX,北美洲,洛杉矶,165 ms
172.67.38.193,LAX,北美洲,洛杉矶,165 ms
172.67.53.114,LAX,北美洲,洛杉矶,165 ms
172.67.177.62,LAX,北美洲,洛杉矶,165 ms
94.242.230.195,LAX,北美洲,洛杉矶,165 ms
104.21.34.204,SJC,北美洲,圣何塞,165 ms
